failure_id,payment_id,customer_id,subscription_id,failure_reason,retry_now_probability,wait_and_retry_probability,send_reminder_probability,payment_link_probability,update_payment_method_probability,no_action_probability
FAIL_000568,PAY_003798,CUST_0222,SUB_0222,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000569,PAY_003805,CUST_0223,SUB_0223,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000570,PAY_003808,CUST_0223,SUB_0223,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000571,PAY_003821,CUST_0224,SUB_0224,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000572,PAY_003822,CUST_0224,SUB_0224,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000573,PAY_003861,CUST_0226,SUB_0226,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000574,PAY_003865,CUST_0226,SUB_0226,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000575,PAY_003877,CUST_0227,SUB_0227,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000576,PAY_003897,CUST_0228,SUB_0228,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000577,PAY_003898,CUST_0228,SUB_0228,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000578,PAY_003899,CUST_0228,SUB_0228,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000579,PAY_003900,CUST_0229,SUB_0229,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000580,PAY_003909,CUST_0229,SUB_0229,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000581,PAY_003914,CUST_0229,SUB_0229,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000582,PAY_003916,CUST_0229,SUB_0229,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000583,PAY_003918,CUST_0230,SUB_0230,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000584,PAY_003919,CUST_0230,SUB_0230,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000585,PAY_003929,CUST_0231,SUB_0231,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000586,PAY_003964,CUST_0234,SUB_0234,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000587,PAY_003973,CUST_0234,SUB_0234,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000588,PAY_003983,CUST_0235,SUB_0235,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000589,PAY_003991,CUST_0235,SUB_0235,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000590,PAY_003999,CUST_0235,SUB_0235,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000591,PAY_004005,CUST_0236,SUB_0236,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000592,PAY_004006,CUST_0236,SUB_0236,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000593,PAY_004007,CUST_0236,SUB_0236,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000594,PAY_004014,CUST_0236,SUB_0236,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000595,PAY_004015,CUST_0236,SUB_0236,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000596,PAY_004018,CUST_0236,SUB_0236,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000597,PAY_004019,CUST_0236,SUB_0236,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000598,PAY_004020,CUST_0236,SUB_0236,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000599,PAY_004027,CUST_0238,SUB_0238,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000600,PAY_004071,CUST_0240,SUB_0240,LIMIT_EXCEEDED,0.146,0.296,0.258,0.608,0.408,0.0
FAIL_000601,PAY_004082,CUST_0241,SUB_0241,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000602,PAY_004087,CUST_0242,SUB_0242,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000603,PAY_004088,CUST_0242,SUB_0242,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000604,PAY_004093,CUST_0242,SUB_0242,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000605,PAY_004104,CUST_0243,SUB_0243,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000606,PAY_004105,CUST_0243,SUB_0243,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000607,PAY_004108,CUST_0243,SUB_0243,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000608,PAY_004110,CUST_0243,SUB_0243,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000609,PAY_004114,CUST_0243,SUB_0243,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000610,PAY_004115,CUST_0244,SUB_0244,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000611,PAY_004117,CUST_0244,SUB_0244,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000612,PAY_004121,CUST_0244,SUB_0244,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000613,PAY_004128,CUST_0244,SUB_0244,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000614,PAY_004130,CUST_0244,SUB_0244,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000615,PAY_004131,CUST_0244,SUB_0244,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000616,PAY_004135,CUST_0244,SUB_0244,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000617,PAY_004139,CUST_0244,SUB_0244,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000618,PAY_004147,CUST_0245,SUB_0245,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000619,PAY_004151,CUST_0245,SUB_0245,NETWORK_ERROR,0.896,0.746,0.308,0.358,0.158,0.0
FAIL_000620,PAY_004160,CUST_0245,SUB_0245,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000621,PAY_004165,CUST_0245,SUB_0245,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000622,PAY_004188,CUST_0246,SUB_0246,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000623,PAY_004198,CUST_0248,SUB_0248,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000624,PAY_004203,CUST_0248,SUB_0248,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000625,PAY_004205,CUST_0248,SUB_0248,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000626,PAY_004206,CUST_0248,SUB_0248,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000627,PAY_004208,CUST_0248,SUB_0248,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000628,PAY_004222,CUST_0249,SUB_0249,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000629,PAY_004224,CUST_0249,SUB_0249,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000630,PAY_004236,CUST_0250,SUB_0250,CARD_EXPIRED,0.0676,0.0676,0.2656,0.4456,0.8956,0.0
FAIL_000631,PAY_004241,CUST_0250,SUB_0250,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000632,PAY_004280,CUST_0252,SUB_0252,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000633,PAY_004284,CUST_0252,SUB_0252,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000634,PAY_004294,CUST_0252,SUB_0252,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000635,PAY_004297,CUST_0252,SUB_0252,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000636,PAY_004301,CUST_0252,SUB_0252,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000637,PAY_004303,CUST_0252,SUB_0252,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000638,PAY_004309,CUST_0253,SUB_0253,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000639,PAY_004318,CUST_0253,SUB_0253,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000640,PAY_004324,CUST_0253,SUB_0253,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000641,PAY_004327,CUST_0253,SUB_0253,LIMIT_EXCEEDED,0.076,0.226,0.096,0.446,0.246,0.0
FAIL_000642,PAY_004330,CUST_0254,SUB_0254,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000643,PAY_004334,CUST_0254,SUB_0254,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000644,PAY_004346,CUST_0254,SUB_0254,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000645,PAY_004352,CUST_0255,SUB_0255,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000646,PAY_004353,CUST_0255,SUB_0255,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000647,PAY_004357,CUST_0255,SUB_0255,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000648,PAY_004358,CUST_0255,SUB_0255,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000649,PAY_004406,CUST_0259,SUB_0259,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000650,PAY_004411,CUST_0259,SUB_0259,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000651,PAY_004430,CUST_0260,SUB_0260,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000652,PAY_004454,CUST_0261,SUB_0261,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000653,PAY_004462,CUST_0262,SUB_0262,LIMIT_EXCEEDED,0.146,0.296,0.258,0.608,0.408,0.0
FAIL_000654,PAY_004463,CUST_0262,SUB_0262,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000655,PAY_004471,CUST_0262,SUB_0262,CARD_EXPIRED,0.096,0.096,0.258,0.408,0.858,0.0
FAIL_000656,PAY_004480,CUST_0262,SUB_0262,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000657,PAY_004503,CUST_0264,SUB_0264,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000658,PAY_004551,CUST_0267,SUB_0267,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000659,PAY_004552,CUST_0267,SUB_0267,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000660,PAY_004568,CUST_0268,SUB_0268,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000661,PAY_004574,CUST_0268,SUB_0268,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000662,PAY_004578,CUST_0268,SUB_0268,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000663,PAY_004588,CUST_0268,SUB_0268,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000664,PAY_004590,CUST_0268,SUB_0268,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000665,PAY_004594,CUST_0269,SUB_0269,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000666,PAY_004597,CUST_0269,SUB_0269,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000667,PAY_004608,CUST_0270,SUB_0270,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000668,PAY_004624,CUST_0272,SUB_0272,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000669,PAY_004627,CUST_0272,SUB_0272,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000670,PAY_004676,CUST_0276,SUB_0276,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000671,PAY_004679,CUST_0276,SUB_0276,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000672,PAY_004681,CUST_0276,SUB_0276,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000673,PAY_004690,CUST_0277,SUB_0277,LIMIT_EXCEEDED,0.076,0.226,0.096,0.446,0.246,0.0
FAIL_000674,PAY_004691,CUST_0277,SUB_0277,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000675,PAY_004692,CUST_0277,SUB_0277,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000676,PAY_004696,CUST_0277,SUB_0277,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000677,PAY_004699,CUST_0277,SUB_0277,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000678,PAY_004700,CUST_0277,SUB_0277,LIMIT_EXCEEDED,0.076,0.226,0.096,0.446,0.246,0.0
FAIL_000679,PAY_004703,CUST_0277,SUB_0277,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000680,PAY_004704,CUST_0277,SUB_0277,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000681,PAY_004705,CUST_0277,SUB_0277,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000682,PAY_004706,CUST_0277,SUB_0277,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000683,PAY_004708,CUST_0277,SUB_0277,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000684,PAY_004710,CUST_0278,SUB_0278,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000685,PAY_004713,CUST_0278,SUB_0278,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000686,PAY_004727,CUST_0279,SUB_0279,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000687,PAY_004734,CUST_0279,SUB_0279,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000688,PAY_004736,CUST_0279,SUB_0279,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000689,PAY_004738,CUST_0279,SUB_0279,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000690,PAY_004742,CUST_0280,SUB_0280,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000691,PAY_004745,CUST_0280,SUB_0280,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000692,PAY_004750,CUST_0281,SUB_0281,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000693,PAY_004761,CUST_0281,SUB_0281,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000694,PAY_004763,CUST_0281,SUB_0281,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000695,PAY_004765,CUST_0281,SUB_0281,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000696,PAY_004766,CUST_0281,SUB_0281,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000697,PAY_004767,CUST_0281,SUB_0281,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000698,PAY_004772,CUST_0282,SUB_0282,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000699,PAY_004776,CUST_0283,SUB_0283,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000700,PAY_004782,CUST_0283,SUB_0283,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000701,PAY_004795,CUST_0285,SUB_0285,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000702,PAY_004796,CUST_0285,SUB_0285,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000703,PAY_004802,CUST_0285,SUB_0285,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000704,PAY_004812,CUST_0286,SUB_0286,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000705,PAY_004814,CUST_0286,SUB_0286,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000706,PAY_004843,CUST_0287,SUB_0287,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000707,PAY_004862,CUST_0289,SUB_0289,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000708,PAY_004868,CUST_0289,SUB_0289,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000709,PAY_004874,CUST_0290,SUB_0290,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000710,PAY_004879,CUST_0290,SUB_0290,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000711,PAY_004886,CUST_0290,SUB_0290,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000712,PAY_004890,CUST_0291,SUB_0291,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000713,PAY_004891,CUST_0291,SUB_0291,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000714,PAY_004918,CUST_0294,SUB_0294,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000715,PAY_004922,CUST_0294,SUB_0294,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000716,PAY_004935,CUST_0295,SUB_0295,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000717,PAY_004936,CUST_0295,SUB_0295,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000718,PAY_004937,CUST_0295,SUB_0295,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000719,PAY_004959,CUST_0298,SUB_0298,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000720,PAY_004963,CUST_0298,SUB_0298,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000721,PAY_004965,CUST_0298,SUB_0298,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000722,PAY_004967,CUST_0298,SUB_0298,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000723,PAY_004971,CUST_0298,SUB_0298,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000724,PAY_004981,CUST_0298,SUB_0298,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000725,PAY_004990,CUST_0299,SUB_0299,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000726,PAY_004993,CUST_0299,SUB_0299,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000727,PAY_004994,CUST_0299,SUB_0299,CARD_EXPIRED,0.0676,0.0676,0.2656,0.4456,0.8956,0.0
FAIL_000728,PAY_004999,CUST_0299,SUB_0299,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000729,PAY_005009,CUST_0300,SUB_0300,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000730,PAY_005016,CUST_0300,SUB_0300,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000731,PAY_005059,CUST_0301,SUB_0301,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000732,PAY_005068,CUST_0303,SUB_0303,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000733,PAY_005077,CUST_0303,SUB_0303,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000734,PAY_005083,CUST_0303,SUB_0303,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000735,PAY_005089,CUST_0303,SUB_0303,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000736,PAY_005094,CUST_0304,SUB_0304,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000737,PAY_005096,CUST_0304,SUB_0304,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000738,PAY_005099,CUST_0305,SUB_0305,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000739,PAY_005101,CUST_0305,SUB_0305,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000740,PAY_005104,CUST_0305,SUB_0305,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000741,PAY_005105,CUST_0305,SUB_0305,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000742,PAY_005115,CUST_0305,SUB_0305,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000743,PAY_005145,CUST_0307,SUB_0307,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000744,PAY_005146,CUST_0307,SUB_0307,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000745,PAY_005147,CUST_0307,SUB_0307,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000746,PAY_005148,CUST_0307,SUB_0307,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000747,PAY_005149,CUST_0307,SUB_0307,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000748,PAY_005151,CUST_0307,SUB_0307,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000749,PAY_005152,CUST_0307,SUB_0307,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000750,PAY_005153,CUST_0307,SUB_0307,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000751,PAY_005155,CUST_0307,SUB_0307,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000752,PAY_005156,CUST_0307,SUB_0307,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000753,PAY_005159,CUST_0307,SUB_0307,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000754,PAY_005160,CUST_0307,SUB_0307,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000755,PAY_005163,CUST_0307,SUB_0307,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000756,PAY_005164,CUST_0307,SUB_0307,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000757,PAY_005182,CUST_0309,SUB_0309,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000758,PAY_005186,CUST_0309,SUB_0309,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000759,PAY_005187,CUST_0309,SUB_0309,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000760,PAY_005190,CUST_0309,SUB_0309,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000761,PAY_005196,CUST_0310,SUB_0310,NETWORK_ERROR,0.896,0.746,0.308,0.358,0.158,0.0
FAIL_000762,PAY_005226,CUST_0312,SUB_0312,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000763,PAY_005227,CUST_0312,SUB_0312,AUTHENTICATION_FAILED,0.0676,0.1176,0.4156,0.5456,0.7456,0.0
FAIL_000764,PAY_005247,CUST_0314,SUB_0314,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000765,PAY_005281,CUST_0316,SUB_0316,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000766,PAY_005283,CUST_0316,SUB_0316,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000767,PAY_005286,CUST_0316,SUB_0316,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000768,PAY_005287,CUST_0316,SUB_0316,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000769,PAY_005297,CUST_0317,SUB_0317,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000770,PAY_005303,CUST_0317,SUB_0317,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000771,PAY_005311,CUST_0318,SUB_0318,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000772,PAY_005312,CUST_0318,SUB_0318,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000773,PAY_005316,CUST_0319,SUB_0319,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000774,PAY_005320,CUST_0320,SUB_0320,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000775,PAY_005333,CUST_0320,SUB_0320,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000776,PAY_005345,CUST_0321,SUB_0321,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
